#Accession	Name	Function	Category	TC
TIGR03432	yjhG_yagF	putative dehydratase, YjhG/YagF family	Unknown function	808.15
TIGR03433	padR_acidobact	transcriptional regulator, Acidobacterial, PadR-family	Regulatory functions	101.8
TIGR03434	ADOP	acidobacterial duplicated orphan permease	Other	622.3
TIGR03435	Soli_TIGR03435	soil-associated protein, TIGR03435 family	Other	40
TIGR03436	acidobact_VWFA	VWFA-related Acidobacterial domain	Other	81.25
TIGR03437	Soli_cterm	Solibacter uncharacterized C-terminal domain	Other	29.05
TIGR03438	egtD_ergothio	dimethylhistidine N-methyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	290.9
TIGR03439	methyl_EasF	probable methyltransferase domain, EasF family	Other	205.55
TIGR03440	egtB_TIGR03440	ergothioneine biosynthesis protein EgtB	Biosynthesis of cofactors, prosthetic groups, and carriers	240
TIGR03441	urea_trans_yut	urea transporter	Transport and binding proteins	274.6
TIGR03442	TIGR03442	ergothioneine biosynthesis protein EgtC	Biosynthesis of cofactors, prosthetic groups, and carriers	218.65
TIGR03443	alpha_am_amid	L-aminoadipate-semialdehyde dehydrogenase	Other	1030.1
TIGR03444	EgtA_Cys_ligase	ergothioneine biosynthesis glutamate--cysteine ligase EgtA	Biosynthesis of cofactors, prosthetic groups, and carriers	370.8
TIGR03445	mycothiol_MshB	N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase	Cellular processes	224.35
TIGR03446	mycothiol_Mca	mycothiol conjugate amidase Mca	Cellular processes	277.15
TIGR03447	mycothiol_MshC	cysteine--1-D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase	Biosynthesis of cofactors, prosthetic groups, and carriers	485.1
TIGR03448	mycothiol_MshD	mycothiol synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	163.1
TIGR03449	mycothiol_MshA	D-inositol-3-phosphate glycosyltransferase	Other	462.5
TIGR03450	mycothiol_INO1	inositol 1-phosphate synthase	Other	638
TIGR03451	mycoS_dep_FDH	S-(hydroxymethyl)mycothiol dehydrogenase	Cellular processes	512.9
TIGR03452	mycothione_red	mycothione reductase	Other	635.65
TIGR03453	partition_RepA	plasmid partitioning protein RepA	Mobile and extrachromosomal element functions	348.45
TIGR03454	partition_RepB	plasmid partitioning protein RepB	Mobile and extrachromosomal element functions	201.5
TIGR03455	HisG_C-term	ATP phosphoribosyltransferase, C-terminal domain	Other	40.05
TIGR03457	sulphoacet_xsc	sulfoacetaldehyde acetyltransferase	Central intermediary metabolism	676.4
TIGR03458	YgfH_subfam	succinate CoA transferase	Other	658.7
TIGR03459	crt_membr	carotene biosynthesis associated membrane protein	Other	439.4
TIGR03460	crt_membr_arch	carotene biosynthesis associated membrane protein	Other	154.7
TIGR03461	pabC_Proteo	aminodeoxychorismate lyase	Biosynthesis of cofactors, prosthetic groups, and carriers	176.85
TIGR03462	CarR_dom_SF	lycopene cyclase domain	Other	39.4
TIGR03463	osq_cycl	2,3-oxidosqualene cyclase	Other	851
TIGR03464	HpnC	squalene synthase HpnC	Other	250.45
TIGR03465	HpnD	squalene synthase HpnD	Other	278.6
TIGR03466	HpnA	hopanoid-associated sugar epimerase	Other	367.65
TIGR03467	HpnE	squalene-associated FAD-dependent desaturase	Other	283.05
TIGR03468	HpnG	hopanoid-associated phosphorylase	Other	187.1
TIGR03469	HpnB	hopene-associated glycosyltransferase HpnB	Other	379.25
TIGR03470	HpnH	hopanoid biosynthesis associated radical SAM protein HpnH	Other	225.05
TIGR03471	HpnJ	hopanoid biosynthesis associated radical SAM protein HpnJ	Other	577.6
TIGR03472	HpnI	hopanoid biosynthesis associated glycosyl transferase protein HpnI	Other	310
TIGR03473	HpnK	hopanoid biosynthesis associated protein HpnK	Other	232.6
TIGR03474	incFII_RepA	incFII family plasmid replication initiator RepA	Other	446.9
TIGR03475	tap_IncFII_lead	RepA leader peptide Tap	Mobile and extrachromosomal element functions	35.05
TIGR03476	HpnL	putative membrane protein	Other	195.65
TIGR03477	DMSO_red_II_gam	DMSO reductase family type II enzyme, heme b subunit	Energy metabolism	169.85
TIGR03478	DMSO_red_II_bet	DMSO reductase family type II enzyme, iron-sulfur subunit	Energy metabolism	480.7
TIGR03479	DMSO_red_II_alp	DMSO reductase family type II enzyme, molybdopterin subunit	Other	984.75
TIGR03480	HpnN	hopanoid biosynthesis associated RND transporter like protein HpnN	Other	751.85
TIGR03481	HpnM	hopanoid biosynthesis associated membrane protein HpnM	Other	160.1
TIGR03482	DMSO_red_II_cha	DMSO reductase family type II enzyme chaperone	Other	152.3
TIGR03483	FtsZ_alphas_C	cell division protein FtsZ, alphaProteobacterial C-terminal extension	Cellular processes	62.95
TIGR03485	cas_csx13_N	CRISPR-associated protein Cas8a1/Csx13, MYXAN subtype	Other	80.85
TIGR03486	cas_csx13_C	CRISPR-associated protein Cas8a1/Csx13, MYXAN subtype, C-terminal region	Other	47.4
TIGR03487	cas_csp2	CRISPR-associated protein Cas8c/Csp2, subtype PGING	Other	461.75
TIGR03488	cas_Cas5p	CRISPR-associated protein Cas5, subtype PGING	Other	100
TIGR03489	cas_csp1	CRISPR-associated protein Cas7/Csp1, subtype PGING	Other	340.65
TIGR03490	Mycoplas_LppA	mycoides cluster lipoprotein, LppA/P72 family	Other	325.5
TIGR03491	TIGR03491	putative RecB family nuclease, TM0106 family	Other	97.45
TIGR03492	TIGR03492	conserved hypothetical protein	Other	219.2
TIGR03493	cellullose_BcsF	celllulose biosynthesis operon protein BcsF/YhjT	Cell envelope	56
TIGR03494	salicyl_syn	salicylate synthase	Other	325.15
TIGR03495	phage_LysB	phage lysis regulatory protein, LysB family	Other	92.75
TIGR03496	FliI_clade1	flagellar protein export ATPase FliI	Cellular processes	619.1
TIGR03497	FliI_clade2	flagellar protein export ATPase FliI	Cellular processes	629.8
TIGR03498	FliI_clade3	flagellar protein export ATPase FliI	Other	587.45
TIGR03499	FlhF	flagellar biosynthesis protein FlhF	Cellular processes	174.15
TIGR03500	FliO_TIGR	flagellar biosynthetic protein FliO	Other	55.25
TIGR03501	GlyGly_CTERM	GlyGly-CTERM domain	Other	15.5
TIGR03502	lipase_Pla1_cef	extracellular lipase, Pla-1/cef family	Other	383.9
TIGR03503	TIGR03503	TIGR03503 family protein	Other	305.6
TIGR03504	FimV_Cterm	FimV C-terminal domain	Other	30.65
TIGR03505	FimV_core	FimV N-terminal domain	Other	43.45
TIGR03506	FlgEFG_subfam	flagellar hook-basal body protein	Other	70.25
TIGR03507	decahem_SO1788	decaheme c-type cytochrome, OmcA/MtrC family	Energy metabolism	209.3
TIGR03508	decahem_SO	decaheme c-type cytochrome, DmsE family	Other	192.2
TIGR03509	OMP_MtrB_PioB	decaheme-associated outer membrane protein, MtrB/PioB family	Energy metabolism	240.05
TIGR03510	XapX	XapX domain	Unknown function	27.8
TIGR03511	GldH_lipo	gliding motility-associated lipoprotein GldH	Cellular processes	78.7
TIGR03512	GldD_lipo	gliding motility-associated lipoprotein GldD	Cellular processes	179
TIGR03513	GldL_gliding	gliding motility-associated protein GldL	Cellular processes	68.3
TIGR03514	GldB_lipo	gliding motility-associated lipoprotein GldB	Other	317.2
TIGR03515	GldC	gliding motility-associated protein GldC	Other	102.15
TIGR03516	ppisom_GldI	peptidyl-prolyl isomerase, gliding motility-associated	Other	157.6
TIGR03517	GldM_gliding	gliding motility-associated protein GldM	Other	269.35
TIGR03518	ABC_perm_GldF	gliding motility-associated ABC transporter permease protein GldF	Other	288.5
TIGR03519	T9SS_PorP_fam	type IX secretion system membrane protein, PorP/SprF family	Other	90.55
TIGR03520	GldE	gliding motility-associated protein GldE	Other	376.05
TIGR03521	GldG	gliding-associated putative ABC transporter substrate-binding component GldG	Other	389.85
TIGR03522	GldA_ABC_ATP	gliding motility-associated ABC transporter ATP-binding subunit GldA	Other	402.6
TIGR03523	GldN	gliding motility associated protein GldN	Other	85.9
TIGR03524	GldJ	gliding motility-associated lipoprotein GldJ	Other	458.2
TIGR03525	GldK	gliding motility-associated lipoprotein GldK	Other	487.1
TIGR03526	selenium_YgeY	putative selenium metabolism hydrolase	Other	321.5
TIGR03527	selenium_YedF	selenium metabolism protein YedF	Other	110
TIGR03528	2_3_DAP_am_ly	diaminopropionate ammonia-lyase	Other	532.25
TIGR03529	GldK_short	gliding motility-associated lipoprotein GldK	Other	584.1
TIGR03530	GldJ_short	gliding motility-associated lipoprotein GldJ	Other	382.9
TIGR03531	selenium_SpcS	O-phosphoseryl-tRNA(Sec) selenium transferase	Protein synthesis	224.85
TIGR03532	DapD_Ac	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	Other	231.75
TIGR03533	L3_gln_methyl	protein-(glutamine-N5) methyltransferase, ribosomal protein L3-specific	Protein synthesis	229.7
TIGR03534	RF_mod_PrmC	protein-(glutamine-N5) methyltransferase, release factor-specific	Protein fate	199.1
TIGR03535	DapD_actino	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	Other	441.5
TIGR03536	DapD_gpp	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	Other	518.45
TIGR03537	DapC	succinyldiaminopimelate transaminase	Other	453.6
TIGR03538	DapC_gpp	succinyldiaminopimelate transaminase	Other	474.6
TIGR03539	DapC_actino	succinyldiaminopimelate transaminase	Other	355.65
TIGR03540	DapC_direct	LL-diaminopimelate aminotransferase	Other	593.25
TIGR03541	reg_near_HchA	LuxR family transcriptional regulatory, chaperone HchA-associated	Other	215.6
TIGR03542	DAPAT_plant	LL-diaminopimelate aminotransferase	Other	364.7
TIGR03543	divI1A_rptt_fam	DivIVA domain repeat protein	Other	154.2
TIGR03544	DivI1A_domain	DivIVA domain	Other	22
TIGR03545	TIGR03545	TIGR03545 family protein	Other	173.35
TIGR03546	TIGR03546	TIGR03546 family protein	Other	79.45
TIGR03547	muta_rot_YjhT	mutatrotase, YjhT family	Other	256.35
TIGR03548	mutarot_permut	cyclically-permuted mutarotase family protein	Other	243.2
TIGR03549	TIGR03549	YcaO domain protein	Other	900
TIGR03550	F420_cofG	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase, CofG subunit	Biosynthesis of cofactors, prosthetic groups, and carriers	213.35
TIGR03551	F420_cofH	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase, CofH subunit	Biosynthesis of cofactors, prosthetic groups, and carriers	374.1
TIGR03552	F420_cofC	2-phospho-L-lactate guanylyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	105
TIGR03553	F420_FbiB_CTERM	F420 biosynthesis protein FbiB, C-terminal domain	Biosynthesis of cofactors, prosthetic groups, and carriers	249.55
TIGR03554	F420_G6P_DH	glucose-6-phosphate dehydrogenase (coenzyme-F420)	Energy metabolism	420
TIGR03555	F420_mer	5,10-methylenetetrahydromethanopterin reductase	Energy metabolism	348.7
TIGR03556	photolyase_8HDF	deoxyribodipyrimidine photo-lyase, 8-HDF type	DNA metabolism	884.6
TIGR03557	F420_G6P_family	F420-dependent oxidoreductase, G6PDH family	Unknown function	210.4
TIGR03558	oxido_grp_1	luciferase family oxidoreductase, group 1	Unknown function	166.95
TIGR03559	F420_Rv3520c	probable F420-dependent oxidoreductase, Rv3520c family	Unknown function	335
TIGR03560	F420_Rv1855c	probable F420-dependent oxidoreductase, Rv1855c family	Unknown function	231.4
TIGR03561	organ_hyd_perox	peroxiredoxin, Ohr subfamily	Cellular processes	88.85
TIGR03562	osmo_induc_OsmC	peroxiredoxin, OsmC subfamily	Cellular processes	85.8
TIGR03563	perox_SACOL1771	peroxiredoxin, SACOL1771 subfamily	Other	166.15
TIGR03564	F420_MSMEG_4879	F420-dependent oxidoreductase, MSMEG_4879 family	Unknown function	234.25
TIGR03565	alk_sulf_monoox	alkanesulfonate monooxygenase, FMNH(2)-dependent	Central intermediary metabolism	518.2
TIGR03566	FMN_reduc_MsuE	FMN reductase	Other	212.5
TIGR03567	FMN_reduc_SsuE	FMN reductase	Central intermediary metabolism	164.05
TIGR03568	NeuC_NnaA	UDP-N-acetyl-D-glucosamine 2-epimerase, UDP-hydrolysing	Other	235.9
TIGR03569	NeuB_NnaB	N-acetylneuraminate synthase	Other	399.65
TIGR03570	NeuD_NnaD	sugar O-acyltransferase, sialic acid O-acetyltransferase NeuD family	Other	160.8
TIGR03571	lucif_BA3436	luciferase-type oxidoreductase, BA3436 family	Unknown function	303.9
TIGR03572	WbuZ	glycosyl amidation-associated protein WbuZ	Other	299.7
TIGR03573	WbuX	N-acetyl sugar amidotransferase	Other	203.2
TIGR03574	selen_PSTK	L-seryl-tRNA(Sec) kinase	Protein synthesis	290.5
TIGR03575	selen_PSTK_euk	L-seryl-tRNA(Sec) kinase	Other	382.35
TIGR03576	pyridox_MJ0158	pyridoxal phosphate enzyme, MJ0158 family	Unknown function	304.45
TIGR03577	EF_0830	conserved hypothetical protein EF_0830/AHA_3911	Hypothetical proteins	141.1
TIGR03578	EF_0831	conserved hypothetical protein EF_0831/AHA_3912	Hypothetical proteins	89.65
TIGR03579	EF_0833	conserved hypothetical protein EF_0833/AHA_3914	Other	215.45
TIGR03580	EF_0832	conserved hypothetical protein EF_0832/AHA_3913	Unknown function	301.1
TIGR03581	EF_0839	conserved hypothetical protein EF_0839/AHA_3917	Hypothetical proteins	222.4
TIGR03582	EF_0829	PRD domain protein, EF_0829/AHA_3910 family	Unknown function	69.35
TIGR03583	EF_0837	putative amidohydrolase, EF_0837/AHA_3915 family	Hypothetical proteins	432.15
TIGR03584	PseF	pseudaminic acid cytidylyltransferase	Other	205.7
TIGR03585	PseH	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase	Other	93.1
TIGR03586	PseI	pseudaminic acid synthase	Other	340.25
TIGR03587	Pse_Me-ase	pseudaminic acid biosynthesis-associated methylase	Other	112.05
TIGR03588	PseC	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase	Other	423.5
TIGR03589	PseB	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)	Other	407.75
TIGR03590	PseG	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase	Other	153.55
TIGR03591	polynuc_phos	polyribonucleotide nucleotidyltransferase	Transcription	525.05
TIGR03592	yidC_oxa1_cterm	membrane protein insertase, YidC/Oxa1 family	Protein fate	84.3
TIGR03593	yidC_nterm	membrane protein insertase, YidC/Oxa1 family, N-terminal domain	Protein fate	58.25
TIGR03594	GTPase_EngA	ribosome-associated GTPase EngA	Protein synthesis	306.7
TIGR03595	Obg_CgtA_exten	Obg family GTPase CgtA, C-terminal extension	Other	37.65
TIGR03596	GTPase_YlqF	ribosome biogenesis GTP-binding protein YlqF	Protein synthesis	208.2
TIGR03597	GTPase_YqeH	ribosome biogenesis GTPase YqeH	Protein synthesis	297.4
TIGR03598	GTPase_YsxC	ribosome biogenesis GTP-binding protein YsxC	Protein synthesis	124.45
TIGR03599	YloV	DAK2 domain fusion protein YloV	Other	396.1
TIGR03600	phage_DnaB	phage replicative helicase, DnaB family	Mobile and extrachromosomal element functions	498.65
TIGR03601	B_an_ocin	bacteriocin, heterocycloanthracin/sonorensin family	Cellular processes	35
TIGR03602	streptolysinS	bacteriocin protoxin, streptolysin S family	Cellular processes	39.95
TIGR03603	cyclo_dehy_ocin	thiazole/oxazole-forming peptide maturase, SagC family component	Cellular processes	187.65
TIGR03604	TOMM_cyclo_SagD	thiazole/oxazole-forming peptide maturase, SagD family component	Other	219.25
TIGR03605	antibiot_sagB	SagB-type dehydrogenase domain	Other	78.4
TIGR03606	non_repeat_PQQ	dehydrogenase, PQQ-dependent, s-GDH family	Other	434.55
TIGR03607	TIGR03607	patatin-related protein	Unknown function	262.45
TIGR03608	L_ocin_972_ABC	putative bacteriocin export ABC transporter, lactococcin 972 group	Transport and binding proteins	254.85
TIGR03609	S_layer_CsaB	polysaccharide pyruvyl transferase CsaB	Protein fate	213.1
TIGR03610	RutC	pyrimidine utilization protein C	Other	169.1
TIGR03611	RutD	pyrimidine utilization protein D	Other	238.5
TIGR03612	RutA	pyrimidine utilization protein A	Unknown function	498.3
TIGR03613	RutR	pyrimidine utilization regulatory protein R	Other	368
TIGR03614	RutB	pyrimidine utilization protein B	Other	377.95
TIGR03615	RutF	pyrimidine utilization flavin reductase protein F	Other	254.75
TIGR03616	RutG	pyrimidine utilization transport protein G	Other	758.65
TIGR03617	F420_MSMEG_2256	probable F420-dependent oxidoreductase, MSMEG_2256 family	Unknown function	278.15
TIGR03618	Rv1155_F420	PPOX class probable F420-dependent enzyme	Unknown function	79.05
TIGR03619	F420_Rv2161c	probable F420-dependent oxidoreductase, Rv2161c family	Unknown function	166.9
TIGR03620	F420_MSMEG_4141	probable F420-dependent oxidoreductase, MSMEG_4141 family	Unknown function	219.8
TIGR03621	F420_MSMEG_2516	probable F420-dependent oxidoreductase, MSMEG_2516 family	Unknown function	213.15
TIGR03622	urea_t_UrtB_arc	urea ABC transporter, permease protein UrtB	Other	374.25
TIGR03623	TIGR03623	probable DNA repair protein	Other	299.6
TIGR03624	TIGR03624	putative hydrolase	Unknown function	136.05
TIGR03625	L3_bact	50S ribosomal protein uL3	Other	142.9
TIGR03626	L3_arch	ribosomal protein uL3	Protein synthesis	308.7
TIGR03627	uS9_arch	ribosomal protein uS9	Protein synthesis	162.75
TIGR03628	arch_S11P	ribosomal protein uS11	Protein synthesis	182.35
TIGR03629	uS13_arch	ribosomal protein uS13	Protein synthesis	175.55
TIGR03630	uS17_arch	ribosomal protein uS17	Protein synthesis	105
TIGR03631	uS13_bact	ribosomal protein uS13	Protein synthesis	130.45
TIGR03632	uS11_bact	ribosomal protein uS11	Protein synthesis	154.5
TIGR03633	arc_protsome_A	proteasome endopeptidase complex, archaeal, alpha subunit	Protein fate	287.35
TIGR03634	arc_protsome_B	proteasome endopeptidase complex, archaeal, beta subunit	Protein fate	224
TIGR03635	uS17_bact	ribosomal protein uS17	Protein synthesis	88.7
TIGR03636	uL23_arch	ribosomal protein uL23	Protein synthesis	94.95
TIGR03637	cas1_YPEST	CRISPR-associated endonuclease Cas1, subtype I-F/YPEST	Other	150
TIGR03638	cas1_ECOLI	CRISPR-associated endonuclease Cas1, subtype I-E/ECOLI	Other	215.6
TIGR03639	cas1_NMENI	CRISPR-associated endonuclease Cas1, subtype II/NMENI	Other	120
TIGR03640	cas1_DVULG	CRISPR-associated endonuclease Cas1, subtype I-C/DVULG	Other	385
TIGR03641	cas1_HMARI	CRISPR-associated endonuclease Cas1, subtype I-B/HMARI/TNEAP	Other	304.1
TIGR03642	cas_csx14	CRISPR-associated protein, Csx14 family	Other	90.35
TIGR03643	TIGR03643	TIGR03643 family protein	Hypothetical proteins	66.55
TIGR03644	marine_trans_1	probable ammonium transporter, marine subtype	Other	514
TIGR03645	glyox_marine	lactoylglutathione lyase family protein	Other	262.05
TIGR03646	YtoQ_fam	YtoQ family protein	Other	155.35
TIGR03647	Na_symport_sm	putative solute:sodium symporter small subunit	Transport and binding proteins	26.05
TIGR03648	Na_symport_lg	probable sodium:solute symporter, VC_2705 subfamily	Other	320.75
TIGR03649	ergot_EASG	ergot alkaloid biosynthesis protein, AFUA_2G17970 family	Other	256.4
TIGR03650	violacein_E	violacein biosynthesis enzyme VioE	Cellular processes	177.05
TIGR03651	circ_ocin_uber	circular bacteriocin, circularin A/uberolysin family	Cellular processes	30.7
TIGR03652	FeS_repair_RIC	iron-sulfur cluster repair di-iron protein	Biosynthesis of cofactors, prosthetic groups, and carriers	204.7
TIGR03653	uL6_arch	ribosomal protein uL6	Protein synthesis	185.4
TIGR03654	L6_bact	ribosomal protein uL6	Protein synthesis	168.55
TIGR03655	anti_R_Lar	restriction alleviation protein, Lar family	Mobile and extrachromosomal element functions	39.6
TIGR03656	IsdC	heme uptake protein IsdC	Other	155.85
TIGR03657	IsdB	heme uptake protein IsdB	Other	1231.5
TIGR03658	IsdH_HarA	haptoglobin-binding heme uptake protein HarA	Other	1400.25
TIGR03659	IsdE	heme ABC transporter, heme-binding protein isdE	Other	298.65
TIGR03660	T1SS_rpt_143	T1SS-143 repeat domain	Cellular processes	66.05
TIGR03661	T1SS_VCA0849	type I secretion C-terminal target domain (VC_A0849 subclass)	Cellular processes	17.6
TIGR03662	Chlor_Arch_YYY	chlor_Arch_YYY domain	Other	300.25
TIGR03663	TIGR03663	TIGR03663 family protein	Other	126.25
TIGR03664	fut_nucase	futalosine hydrolase	Other	124.7
TIGR03665	arCOG04150	arCOG04150 universal archaeal KH domain protein	Other	114.2
TIGR03666	Rv2061_F420	PPOX class probable F420-dependent enzyme, Rv2061 family	Unknown function	84.9
TIGR03667	Rv3369	PPOX class probable F420-dependent enzyme, Rv3369 family	Unknown function	125.3
TIGR03668	Rv0121_F420	PPOX class probable F420-dependent enzyme, Rv0121 family	Unknown function	119.15
TIGR03669	urea_ABC_arch	urea ABC transporter, substrate-binding protein	Transport and binding proteins	494.8
TIGR03670	rpoB_arch	DNA-directed RNA polymerase subunit B	Other	811
TIGR03671	cca_archaeal	CCA-adding enzyme	Other	281.3
TIGR03672	rpl4p_arch	50S ribosomal protein uL4	Other	269.75
TIGR03673	uL14_arch	50S ribosomal protein uL14	Other	191.45
TIGR03674	fen_arch	flap structure-specific endonuclease	Other	351.95
TIGR03675	arCOG00543	arCOG00543 universal archaeal KH-domain/beta-lactamase-domain protein	Other	580.2
TIGR03676	aRF1/eRF1	peptide chain release factor 1, archaeal and eukaryotic forms	Protein synthesis	234.7
TIGR03677	eL8_ribo	ribosomal protein eL8	Other	134.6
TIGR03678	het_cyc_patell	bacteriocin leader peptide, microcyclamide/patellamide family	Other	39.6
TIGR03679	arCOG00187	arCOG00187 universal archaeal metal-binding-domain/4Fe-4S-binding-domain containing ABC transporter, ATP-binding protein	Other	197.3
TIGR03680	eif2g_arch	translation initiation factor 2, gamma subunit	Other	514.5
TIGR03682	arCOG04112	diphthamide biosynthesis enzyme Dph2	Other	202.8
TIGR03683	A-tRNA_syn_arch	alanine--tRNA ligase	Other	744.7
TIGR03684	arCOG00985	arCOG04150 universal archaeal PUA-domain protein	Other	120.6
TIGR03685	ribo_P1_arch	50S ribosomal protein P1	Other	100
TIGR03686	pupylate_PafA	Pup--protein ligase	Protein fate	551.3
TIGR03687	pupylate_cterm	ubiquitin-like protein Pup	Protein fate	41.45
TIGR03688	pupylate_PafA2	proteasome accessory factor PafA2	Protein fate	492.3
TIGR03689	pup_AAA	proteasome ATPase	Protein fate	504.75
TIGR03690	20S_bact_beta	proteasome, beta subunit	Protein fate	191.9
TIGR03691	20S_bact_alpha	proteasome, alpha subunit	Protein fate	139.05
TIGR03692	ATP_dep_HslV	ATP-dependent protease HslVU, peptidase subunit	Protein fate	157.75
TIGR03693	ocin_ThiF_like	putative thiazole-containing bacteriocin maturation protein	Cellular processes	561.9
TIGR03694	exosort_acyl	N-acyl amino acid synthase, PEP-CTERM/exosortase system-associated	Other	111.95
TIGR03695	menH_SHCHC	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	208.55
TIGR03696	Rhs_assc_core	RHS repeat-associated core domain	Other	32.5
TIGR03697	NtcA_cyano	global nitrogen regulator NtcA	Regulatory functions	244.95
TIGR03698	clan_AA_DTGF	clan AA aspartic protease, AF_0612 family	Protein fate	57.35
TIGR03699	menaquin_MqnC	dehypoxanthine futalosine cyclase	Biosynthesis of cofactors, prosthetic groups, and carriers	428.1
TIGR03700	mena_SCO4494	putative menaquinone biosynthesis radical SAM enzyme, SCO4494 family	Biosynthesis of cofactors, prosthetic groups, and carriers	434.55
TIGR03701	mena_SCO4490	menaquinone biosynthesis decarboxylase, SCO4490 family	Biosynthesis of cofactors, prosthetic groups, and carriers	495.9
TIGR03702	lip_kinase_YegS	lipid kinase YegS	Unknown function	387.45
TIGR03703	plsB	glycerol-3-phosphate O-acyltransferase	Fatty acid and phospholipid metabolism	618.5
TIGR03704	PrmC_rel_meth	putative protein-(glutamine-N5) methyltransferase, unknown substrate-specific	Protein synthesis	248.8
TIGR03705	poly_P_kin	polyphosphate kinase 1	Central intermediary metabolism	465.85
TIGR03706	exo_poly_only	exopolyphosphatase	Central intermediary metabolism	307
TIGR03707	PPK2_P_aer	polyphosphate kinase 2	Central intermediary metabolism	301.8
TIGR03708	poly_P_AMP_trns	polyphosphate:AMP phosphotransferase	Central intermediary metabolism	547.65
TIGR03709	PPK2_rel_1	polyphosphate:nucleotide phosphotransferase, PPK2 family	Central intermediary metabolism	247.2
TIGR03710	OAFO_sf	2-oxoacid:acceptor oxidoreductase, alpha subunit	Other	482.75
TIGR03711	acc_sec_asp3	accessory Sec system protein Asp3	Protein fate	67.25
TIGR03712	acc_sec_asp2	accessory Sec system protein Asp2	Protein fate	210.75
TIGR03713	acc_sec_asp1	accessory Sec system protein Asp1	Protein fate	136.1
TIGR03714	secA2	accessory Sec system translocase SecA2	Protein fate	930
TIGR03715	KxYKxGKxW	KxYKxGKxW signal peptide	Other	18
TIGR03716	R_switched_YkoY	integral membrane protein, YkoY family	Other	138.5
TIGR03717	R_switched_YjbE	integral membrane protein, YjbE family	Other	134.8
TIGR03718	R_switched_Alx	integral membrane protein, TerC family	Other	246.4
TIGR03719	ABC_ABC_ChvD	ATP-binding cassette protein, ChvD family	Other	806.75
TIGR03720	exospor_lead	exosporium leader peptide	Cellular processes	20.1
TIGR03721	exospore_TM	BclB C-terminal domain	Other	93.15
TIGR03722	arch_KAE1	universal archaeal protein Kae1	DNA metabolism	430.9
TIGR03723	T6A_TsaD_YgjD	tRNA threonylcarbamoyl adenosine modification protein TsaD	Protein synthesis	296.1
TIGR03724	arch_bud32	Kae1-associated kinase Bud32	Unknown function	64.4
TIGR03725	T6A_YeaZ	tRNA threonylcarbamoyl adenosine modification protein YeaZ	Protein synthesis	69.3
TIGR03726	strep_RK_lipo	putative cross-wall-targeting lipoprotein signal	Other	20.85
TIGR03727	urea_t_UrtC_arc	urea ABC transporter, permease protein UrtC	Other	575.55
TIGR03728	glyco_access_1	glycosyltransferase, SP_1767 family	Other	290.75
TIGR03729	acc_ester	putative phosphoesterase	Other	148.25
TIGR03730	tungstate_WtpA	tungstate ABC transporter binding protein WtpA	Other	242.75
TIGR03731	lantibio_gallid	lantibiotic, gallidermin/nisin family	Cellular processes	29.3
TIGR03732	lanti_perm_MutE	lantibiotic protection ABC transporter permease subunit, MutE/EpiE family	Other	145.2
TIGR03733	lanti_perm_MutG	lantibiotic protection ABC transporter permease subunit, MutG family	Other	117.2
TIGR03734	PRTRC_parB	PRTRC system ParB family protein	Other	278.6
TIGR03735	PRTRC_A	PRTRC system protein A	Other	101.8
TIGR03736	PRTRC_ThiF	PRTRC system ThiF family protein	Other	144.75
TIGR03737	PRTRC_B	PRTRC system protein B	Other	131.45
TIGR03738	PRTRC_C	PRTRC system protein C	Other	45.95
TIGR03739	PRTRC_D	PRTRC system protein D	Other	214.8
TIGR03740	galliderm_ABC	lantibiotic protection ABC transporter, ATP-binding subunit	Other	309.75
TIGR03741	PRTRC_E	PRTRC system protein E	Other	37.95
TIGR03742	PRTRC_F	PRTRC system protein F	Other	58.4
TIGR03743	SXT_TraD	conjugative coupling factor TraD, SXT/TOL subfamily	Mobile and extrachromosomal element functions	366
TIGR03744	traC_PFL_4706	conjugative transfer ATPase, PFL_4706 family	Mobile and extrachromosomal element functions	520.6
TIGR03745	conj_TIGR03745	integrating conjugative element membrane protein, PFL_4702 family	Mobile and extrachromosomal element functions	52.5
TIGR03746	conj_TIGR03746	integrating conjugative element protein, PFL_4703 family	Mobile and extrachromosomal element functions	137.25
